CustomerID,CustomerName,Segment,Industry,Region,Branch,CreditLimit,Status
1,Customer_1,SMB,Manufacturing,East,Branch_2,50000,Active
2,Customer_2,SMB,Finance,North,Branch_9,50000,Active
3,Customer_3,VIP,Finance,West,Branch_5,50000,Active
4,Customer_4,SMB,Retail,East,Branch_6,50000,Active
5,Customer_5,VIP,Manufacturing,East,Branch_5,50000,Active
6,Customer_6,Startup,IT,West,Branch_10,200000,Active
7,Customer_7,SMB,Finance,North,Branch_5,50000,Active
8,Customer_8,Startup,Retail,West,Branch_3,200000,Active
9,Customer_9,Enterprise,Healthcare,East,Branch_10,100000,Active
10,Customer_10,Startup,Finance,South,Branch_9,100000,Active
11,Customer_11,Enterprise,Healthcare,North,Branch_6,500000,Active
12,Customer_12,Government,Healthcare,East,Branch_7,500000,Active
13,Customer_13,VIP,Retail,South,Branch_5,500000,Active
14,Customer_14,SMB,Finance,South,Branch_9,500000,Active
15,Customer_15,SMB,Manufacturing,North,Branch_7,50000,Active
16,Customer_16,VIP,IT,West,Branch_1,50000,Active
17,Customer_17,Government,Finance,East,Branch_3,500000,Active
18,Customer_18,SMB,Manufacturing,East,Branch_9,50000,Active
19,Customer_19,SMB,Healthcare,South,Branch_9,50000,Active
20,Customer_20,Startup,Finance,North,Branch_5,100000,Active
21,Customer_21,Government,Manufacturing,North,Branch_2,100000,Active
22,Customer_22,VIP,Retail,South,Branch_7,100000,Active
23,Customer_23,Government,Finance,South,Branch_6,500000,Active
24,Customer_24,Startup,Finance,South,Branch_1,100000,Active
25,Customer_25,Enterprise,Finance,North,Branch_4,50000,Active
26,Customer_26,Startup,Manufacturing,North,Branch_8,100000,Active
27,Customer_27,Government,Finance,West,Branch_7,100000,Active
28,Customer_28,Government,Manufacturing,West,Branch_8,50000,Active
29,Customer_29,Enterprise,Manufacturing,East,Branch_4,100000,Active
30,Customer_30,Startup,Retail,South,Branch_8,100000,Active
31,Customer_31,VIP,Manufacturing,North,Branch_1,50000,Active
32,Customer_32,Government,Retail,West,Branch_1,100000,Active
33,Customer_33,Government,NA,West,Branch_5,500000,Active
34,Customer_34,Startup,Finance,West,Branch_4,50000,Active
35,Customer_35,Enterprise,Finance,North,Branch_1,500000,Active
36,Customer_36,VIP,Finance,South,Branch_2,100000,Active
37,Customer_37,VIP,Manufacturing,South,Branch_4,50000,Active
38,Customer_38,SMB,Finance,East,Branch_6,100000,Active
39,Customer_39,Enterprise,Healthcare,East,Branch_1,500000,Active
40,Customer_40,SMB,Finance,North,Branch_9,200000,Active
41,Customer_41,Startup,Retail,North,Branch_5,100000,Active
42,Customer_42,VIP,IT,East,Branch_1,200000,Active
43,Customer_43,Enterprise,Manufacturing,South,Branch_9,100000,Active
